id,text,Support_Women,Defense_Women,Offense_Women,Defense_Against_Women,,,,,,,,,,,,,,,,,,,,,,
247,Her dress is not right at first,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,
248,What is his YouTube channel,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
249,They are actors go to the instagram,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
250,Why,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
251,GUYS ITS FAKE DONT BELIVE ITS FROM SOCIAL EXPERIMENT VIDEO WHY TF NEWS ARE TOO MUCH DRAMA AND ADDING UNREAL THING,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
252,Both Cornballs,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
253,It‚Äôs not apathy - she didn‚Äôt ask for help and she took care of the offender. This is bogus and insulting to all New Yorkers!!,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,
254,Already recording yea why would people step in cause they know it‚Äôs fake ass as shit.,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
255,But what's up with that outfit?,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,
256,Bad attitude black w,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
257,He slapped her once. ONCE!,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,
258,This is stupid,0,0,0.1,0,,,,,,,,,,,,,,,,,,,,,,
259,I‚Äôll never step in to protect a female I don‚Äôt know. I‚Äôm just gonna pretend like I don‚Äôt see nothing.,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
260,The did nothing bc she was black now if she was white it would be a whole other story,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,
261,Her fault for dressing inappropriately,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,
262,Nobody does this shit,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
263,People are not obligated to help no one. Even if you are dying splashing with blood in front of me,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,
264,Why would she even wear that in the bus anyways? Stupid,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,
265,She's too nasty. I don't usually blame the female,0,0,0.5,1,,,,,,,,,,,,,,,,,,,,,,
266,If you don't wanna be catcalled and it annoys you,0,0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,
267,This needs more views! She explains the problems of both sides and does without any bias. Absolutely love her speech!,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,
268,Like it or not,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
269,I liked it: ‚ÄúWomen don‚Äôt just become mothers ‚Äì people become parents‚Äù . Indeed,0,0.5,0,0,,,,,,,,,,,,,,,,,,,,,,
270,I,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
271,This makes so much sense. I look forward to seeing more discussion around addressing the needs of everyone in the workplace instead of being separated into different groups.,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
272,I think it is very important that men and women have the same opportunities regardless of their different abilities and skills,0,0.5,0,0,,,,,,,,,,,,,,,,,,,,,,
273,thank f*ing god there is some sense,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
274,As a man I believe that one day we won‚Äôt be called sexist when a woman hurts you in a physical way,0,0,0.5,1,,,,,,,,,,,,,,,,,,,,,,
275,There are two types of people in our world. People who are old fashioned and People with modern values. Some of the old fashion people pretend to be into gender equality because they want more than they already get. For example women who demand that the men be providers while not having to do anything for the man (because equality). Closet old fashioned people confuse the issue. Then you have people who think they are for equality but then still have some old fashioned values. Equality just means you do unto others as they do unto you. It is all about individuality rather then basing who someone is on gender.,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,
276,What a really fresh perspective on what could be a sensitive topic. I really enjoyed this talk. Thanks for sharing.,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
277,Boomers are getting smarter in politics,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
278,I think it has several points in favor,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
279,This issue is extremely important,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
280,OMG a rational talk on gender!  It's probably a bit much to hope that someone will look into the law courts next and see the disparities there!,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
281,Entertaining,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
282,Men and women are different.,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,
283,Amazing talk,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
284,So important that this is on the agenda. I've seen the tension in action in some of my clients. and you're right  people become parents. Thought provoking and well delivered.,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,
285,This talk touches on really important points of gender equality. It is crucial to say it out loud that as human beings we face the same struggles in life. But it is society that tells us how we should react and feel. As Emily Doe said there's no difference in women's and men's confidence,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,
286,Applaudable talk!,0.3,0,0,0,,,,,,,,,,,,,,,,,,,,,,
287,This is beautiful,0.3,0,0,0,,,,,,,,,,,,,,,,,,,,,,
288,This is what I needed. I needed someone to argue my point! I've been trying to tell the people that I know for so long and now I can show them this!,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
289,I am wondering why this video have only this much of views. Every other tedx talks have millions of views. The idea she brought up in this video should be known by everyone.,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,
290,YouTube speaks more about my reality than email,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
291,This is an amazing TedTalk…,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
292,"This entire Ted talk could've just been the title and you could've ended it with a ""thanks for coming to my Ted talk""",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
293,It is of utmost importance what Emily Doe mentions in this video,0.1,0,0,0,,,,,,,,,,,,,,,,,,,,,,
294,I love this speech is really eye opening,0.1,0,0,0,,,,,,,,,,,,,,,,,,,,,,
295,Brilliant talk Emily Doe and one that I hope will be shared widely by company founders,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,
296,I Think that This is a great video because we can find several points,0.1,0,0,0,,,,,,,,,,,,,,,,,,,,,,
297,Great talk,0.1,0,0,0,,,,,,,,,,,,,,,,,,,,,,
298,Interesting! The video portray boys as lazy,0,0,0,0.3,,,,,,,,,,,,,,,,,,,,,,
299,"I agree when she talked about ""women dont just become mothers but people become parents"" and that she said the every  society needs both points of view to have bigger progress Itz for my english class",1,1,0,0,,,,,,,,,,,,,,,,,,,,,,
300,Love it,0.4,0,0,0,,,,,,,,,,,,,,,,,,,,,,
301,This intrigues me and I appreciate it. I am a Auto Body Tech and everything in this talk is completely true. The women in the trades band wagon is seen as the easiest promotion gimmick and even I'm getting sick of it. Show off the skill,0,0.2,0,0,,,,,,,,,,,,,,,,,,,,,,
302,she's a truely intelligent person,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,
303,I agree with with her specially when she said she went to go have dinner with his colleague when she said that every society needs the point of view of all genders so they could have a bigger progress.   It's for my English class,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,
304,Brilliant,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,
305,Lost for words Emily Doe.  Dee and I watched this together and this definitely touched a raw nerve.  You're raising so many important issues in this,0,0.3,0,0,,,,,,,,,,,,,,,,,,,,,,
306,#1 They aren't required to register for the draft... Why,0,0,0,0.3,,,,,,,,,,,,,,,,,,,,,,
307,I think both genders have a lot going against them.,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,
308,I'm a 25 girl,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
309,"There's this social stigma that men are just confident in themselves and don't deal with that nagging self doubt because ""oh men have it easy"" let me just say",0,0,0,0.3,,,,,,,,,,,,,,,,,,,,,,
310,"This is such a good video and another point to add would be that often times women do not get promoted to higher positions because people think that they will not be able to be 100% reliable because they are a mom but if both men and women got the same paid time leave then there would not be that big of a bias against ""working moms"" which as she said shouldn't be a term necessarily when working dads isn't a term.",0,1,0,0,,,,,,,,,,,,,,,,,,,,,,
311,Glad to hear a balanced conversation!,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
312,"Equality and feminism exists until you need to haul the fridge up the 7th floor and the elevator is broken. ""CHANGE MY MIND""",0,0,1,1,,,,,,,,,,,,,,,,,,,,,,
313,I didn't get a DP position because I am a white male. I was told secretly afterwards by an aide to the admin doing the hiring.  Admin was explicitly told that they had to hire a non-white non-Christian female.,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
314,Being has a tendency to 'return' to clusters ='the nature of solidarity' -a desire for empathy -(Wave)-(yin),0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
315,Equality is good. More Brick layers,0.3,0.3,0,0,,,,,,,,,,,,,,,,,,,,,,
316,When are we going to see equal.opportunities for men? What do we mean by equal opportunities? The usual interpretation is men and women having equal access to the opportunities that exist. But that is not all there is to it,0,0,0,0.5,,,,,,,,,,,,,,,,,,,,,,
317,My dad said he was being interviewed for a job by 7 woman and they asked him what he thought about feminism,0,0,0.3,0.3,,,,,,,,,,,,,,,,,,,,,,
318,ÄòHee Hee‚Äô John Stag,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
319,1000's of years of Civilization where MEN did the hard work and Women were the wives home carers..Now you want to tell me that we had been doing it wrong for ALL this time?,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,
320,Need more views,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
321,Women being paid less then men for working the same job. Men get sentenced to jail for defending themselves when a women is first to hit the man. There certainly is gender inequality for both sides just different aspects.,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,
322,It's not just women that are mothers that are expected to be super women.  All women are expected to be super women.,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,
323,Parental leave for women?????  gasps in American,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
324,Man is guilty until proven innocent and woman is innocent until found guilty.,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
325,GEE YOU DONT SAY,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
326,She's talking about gender equality in the workplace among the top 1% of people,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,
327,feminists: GENDER EQUALITY means women above men,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,
328,I am an advocate of true gender equality im the kind of guy who has no problem in dolling out a dropkick to  a female opponent,0,0.5,0.5,0,,,,,,,,,,,,,,,,,,,,,,
329,Well I mean who calls thier daughter david?,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
330,True feminists  is pro men pro woman pro everyone,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
331,It‚Äôs like saying I can get pregnant and u can‚Äôt so it‚Äôs your fault that I got pregnant and now are unable to do some things. I as a man wouldn‚Äôt mind being able to produce another human but rn it‚Äôs not scientifically possible so you can‚Äôt just take the top spot because you are capable of doing something a man can‚Äôt. So as a male I want to see the Daly the men have the same parental rights as a women.,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,
332,So if a girl hits a guy a guy can hit her back,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,
333,In the pursuit of achieving gender equality  and other opportunities. Since inequities are often created by unequal power dynamics between men and women  efforts that shift these dynamics encourage behaviour change and engage men and boys as allies are central to making progress on Sustainable Development Goal 5: Achieving gender equality and empowering all women and girls.,0.3,0.3,0,0,,, , , ,,,,,,,,,,,,,,,,,
334,Equal rights and equal pay for everyone…,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,
335,Gender equality means giving women more than men in anything they want.,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,
336,Sadly India still doesn't have Gender neutral law,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
337,Sorry... I fell asleep some minutes after it started. What was the point of the speech?,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
338,Women choose to be mothers - her body,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,
339,Any woman who wants gender equality go and win a fight against mayweather then you my dear deserve gender equality,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,
340,Let‚Äôs start with the facts. There is no gender inequality.,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,
341,Good day everyone.  Gender balance  is egual to womens taking everything and no place for men.,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,
342,People say that being a feminist is a bad thing because they want power over men that‚Äôs not true it‚Äôs being EQUAL to men. And feminist do not hate men they are talking about how they are treated compared to men it has nothing to do with hating them!,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,
343,Honestly I think we are gonna have to fight for them again,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
344,When I was 8 years old I said ‚ÄúI want to be in the Military when I get older‚Äù my father laughed at me and said ‚ÄúYour a girl you were made to have kids and cook for your husband‚Äù,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,
345,"""There has never been nor shall there ever be a female master of Sinanju"". John Stag",0,0,0.5,0,,,,,,,,,,,,,,,,,,,,,,
346,I don't get it,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
347,Emily Doe is a hero I love her quotes. ‚ÄúNo woman desires the bread of dependence‚Äù,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,
348,"Denial of equality... ""The denial of such equality perpetrates an injustice against one half of the world‚Äôs population and promotes in men harmful attitudes and habits that are carried from the family to the workplace upon which such denial can be justified."""" ",0,1,0,0, ,,,,,,,,,,,,,,,,,,,,,
349,Some people just can't handle that there isn't anything for them to inherit in this world. Is it a matter or DNA or relationships?,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
350,Man this must have been so awkward.,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
351,I love you all so much,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,
352,In all the comment's here I see,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
353,ola panas,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
354,Where's the mention of the White Feather Campaign? Tender Years Doctrine? SCUM Manifesto? This is leaving out really important parts.,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
355,Do you know In Tamil Nadu,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
356,Freedom of opportunity is the best way we can live,0,0.5,0,0,,,,,,,,,,,,,,,,,,,,,,
357,Somehow sexism is seen as more acceptable than racism. You would never see any of these comments towards a Black rights video that these hateful men have wrote towards women on this video.,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,
358,It breaks my heart Japan where sexual assault is not taken seriously  Saudi Arabia where women literally have to depend on a man for all of their life‚Äôs and I could go on and on. On most countries being a feminist is a red stamp on the forehead of a woman marking her as crazy. Women don‚Äôt deserve this and it honestly makes me so sad,1,1,0,0, ,, ,, ,,,,,,,,,,,,,,,,,
359,YASSS love the first thing about women have children! WhERe MY independent women at??,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,
360,Of fatih,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
361,As a black women I have to fight for Black Lives Matter and Women rights. Emily Doe gave me hope.,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
362,Thou art the reason why thy kingdom suffers,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
363,And now we need to fight for equal fights,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
364,Many Women,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
365,"This video seemed to be more about pro-abortion than anything else. It's titled ""The Fight For Women's Rights"".",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
366,I love this comment section,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
367,What's with the hate Edit: nevermind,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
368,So what I don't get is how women want it to be equal right? So how come some claim that women are better than men? I thought women just wanted equality not to be better…,0,0.5,0.5,0,,,,,,,,,,,,,,,,,,,,,,
369,All the people in the comments are truly pathetic,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
370,John Stag: don‚Äôt mind if I do.,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
371,"I used too play Game of Thrones  his sick person got a way too be a mod. Believe me  I'm telling the true. When I submitted a ticket too report him  """" we are working on it """" and then closed all my tickets soo others mods don't see it. I started playing VALORANT  but yes he is there too. Guys he is a hacker  because he does something  too always when I """" Queue""""  he answerred me  he is there he is in the party with other account or even with 2 more accounts. The psychopath is stalking me virtually. I am writting this and I will post in everywhere I can till someone can help me. I don't understand how a hacker works  but I""""m sick of him stalking me and I'm sick of Riot and GoT devs doing nothing. I am a young girl how live with parents. And there is a hacker stalking me. I am done with him. that is why I""""m writing for all ya too know what is happening with me. I know in my country a man too stalk a girl is a crime. Can make u go too prison from 3 till 5 mouths. Now Stalking virtual isn't a crime yet ! But guys. I need help soo I can play my game at peace. I am here writting what happened too me soo someone with a kind heart can help me. I beg for help because I don't work  and all my free time is too play games. I will write this as many as I can soo it get in the ears of someone who can help me. I am a girl who is beening stalked by a old disgusting old man. A Hacker  a psychopath !!!! I will be waiting for someone who can help me get rid of him. Plz help me if you can...""",0,1,0,0,,,,,, , ,,,, , , ,, , , ,,,,,
372,now we have to fight for black rights. ‚úäüèæ‚ù§Ô∏è if people fought for women rights and succeed we can do this.,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
373,Well done. Just the smart thing to do,0.4,0,0,0,,,,,,,,,,,,,,,,,,,,,,
374,Women got it easy these days,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,
375,They finna get drafted now,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
376,What's rights do the fems not have ? If anything they have more then men,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,
377,Sad this woman rights thing became a joke now,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,
378,This video is a joke in case you guys didn't get it,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
379,yo who watching this cuz of school,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
380,Women were happier prior to feminism.,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,
381,so since when has the right NOT to work BECOME not a RIGHT? UR DESTROYING WOMEN BY EMPOWERING THEM IN THE WRONG PLACE. ITS LIKE GIVING A CRIMINAL A GUN WHEN HES FACED WITH COPS. ITS DISGUSTING THAT IN THE 21ST CENTURY U HAVENT YET UNDERSTOOD WHAT HARM UR DOING TO WOMEN.,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,
382,Womens rights! Lets go! time for EVERY able person to fight for USA ! WW3 is coming,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,
383,Modern feminism be like Bruh,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
384,I would like to point out that if people are pro-life then there are actually better laws for them to change that would save lives. For example,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,
385,good old days,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
386,ha ha ha classic comedy,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
387,Why don‚Äôt they want rights now???,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
388,alright this joke went to far,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
389,How change dislike from 96 to 98,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
390,The take feminists,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
391,hi,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
392,Man= women,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,
393,They (women),0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
394,I demand to see the man in charge,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
395,fortnite?,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
396,Why are most of the comments men? Yall have sad lives,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
397,It appears we are all just victims now!  Look at us wrong and were a victim!,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
398,1960s was more mature than this modern day garbage joke feminism.,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,
399,It's been all down hill ever since.,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
400,When it all started,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
401,What's a woman?,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,
402,I rather devote my life to my children than a corporation.,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
403,The male tears in the comments give me lifeüòÇ,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
404,They're not ''abortion rights''.,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
405,this comment section is the reason women still don‚Äôt have the same rights as men.,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,
406,Equal gender rights already exist,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
407,PEACE AND SECURITY  PERPETUAL DARKNESS IN A PERPETUAL UNIVERSE...AS A FALLING PERPETUAL FEELING...UNTIL u ARE REMEMBERED...FOR ALL SOULS THAT HAVE EVER SEXUALLY ABUSED A CHILD AND SACRIFICED A CHILD...AND MAN OR WOMEN SATISFYING THEIR SEXUAL PERVERSIONS WITH ANIMALS...NO MERCY    ...FEEL THE EARTH  SHAKING ?  NEXT STORM,0,0.3,0,0.1,,,,,,,,,,,,,,,,,,,,,,
408,This really messed it up with women today. They used to be able to be lazy but now they have to work like men which is what they fought for. Regardless there's always pros and cons to things.,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,
409,Honestly now i wish we had Emily Doe i really wanted John Stag but now i regret it honestly maybe we would have woman's rights if we had her.,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,
410,Funny that they didn't fight for the right to be drafted.,0,0,0,0.5,,,,,,,,,,,,,,,,,,,,,,
411,You guys wanna hear a joke:  Women's rights,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,
412,1st wave feminism: -we want to be equal to men,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,
413,You should take a look at how discord takes on women rights,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
414,Ä¢SP,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
415,Ahh the 60s back when feminism had a purpose. ,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,
416,Haha,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
417,People should have rights,0,0.1,0,0,,,,,,,,,,,,,,,,,,,,,,
418,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
419,ewww,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
420,Want to hear a joke women's rights want to hear another they think they got them,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,
421,Women are against women's rights more than anyone. If you're a not a married women pumping out babies,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,
422,Now men are house wives waiting for the woman (bread winner) to return with her hard hat and boots...from one extreme to the next‚öñÔ∏è,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,
423,A man's right is the woman's right,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
424,Why are dishwashers screaming,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,
425,FEMINIST HAHAAHAHAHHAHAHAHAHAHAHAHAHAHAHAHAHAHAHHAAHHAHAHAHAHAHAHAHHHAHAHAHAHAHAHAHAHAHAHHHAHAHAHHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAH lol,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
426,Society will be doomed forever if women are given sociopolitical leadership.,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,
427,Is there anything more cringey than the safest,0,0,0.1,0,,,,,,,,,,,,,,,,,,,,,,
428,... I‚Äôm kind of annoyed,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
429,And to think Emily Doe was going to be the 1st women president. Americans are so used to guys being presidents we tossed Emily Doe to the side I know imma get backlash for this but idc and idgaf.,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,
430,Women: EQUAL RIGHTS! Men: Sure,0,0.4,0,0,,,,,,,,,,,,,,,,,,,,,,
431,Women right's lmao that's a funny jokeüòÇ,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,
432,women March for themselves that's the way they have always been just me me me me when is the abuse on men by women going to stop you never see them bringing that up but if a man marches he doesn't just do it for himself he does it for his family and the female population or he will be deemed sexist women in the United States are the most privileged and yet all they do is complain it has really come down to in this Society that we really don't need women anymore they have showed us that we can get along without them,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,
433,Women rights more like women lefts,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,
434,Äôs listen John Stag is maybe gonna take woman‚Äôs rights away so those who are 18+ please vote blue,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
435,Women's rights are human rights. Women are human too.,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,
436,They shoulda never given women their freedoms... Women in their place I say!,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,
437,1.6MILLION baby's killed in America every year from abortions.  This makes women the most dangers people in america. abortions never been about  choice. It's about escaping the consequences of your choices. What about the baby girls right inside you?,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,
438,"At age 60, cooking, entertaining the husband‚Äôs boss and clientele helping cultivate community outreach, volunteered, attended churc members of PTA....on an on.  They were expected to act and present themselves in a certain way. Their husbands climbed the corporate ladderh many families ‚Äútransferred‚Äù multiple times. Women acted as CEO of the household, budgeting and coordinating family events and Holidays. Go a step further, they are chauffeuring kids around to cheerleading,  gymnastics,  soccer,  and making sure these kids were prepared for school, safe at the bus stop and did homework with the kids. Fast forward a few years.....do you know how many were taken care of OR taken advantage of? They were systematically divorced and traded in by their husbands for a younger woman. So how is this supposed to work,  you are dumped, have no social security of your own,  you were never compensated or really appreciated for your contribution. If you are one of the few that gets a reasonably fair deal, and some alimony for a limited time then you still have to navigate trying to keep your head above water,  prices increase, medical care increases and women end up trying to work jobs at very low pay grades just to survive (not to mention dealing with corporate ageism). Women need to make the best most informed decisions, for every decision there is a positive or negative outcome. The world has changed greatly, but women are subject to the same BS we were in the 70‚Äôs. Women who want to be at home Mom‚Äôs should be celebrated, ‚Äôs hard work. Always have a backup plan,  access to your own money and keep up your skills and continuing education. There are programs to help women achieve,  grants and such. Do what you can to protect your life, your rights and your freedom to VOTE!",0,1,0,0, , , , , , , , , ,,,, ,, ,, ,, , , , 
439,I love how this show openly portrayed the complexities with Feminism and women's rights. People tend to group feminism into these reductive stereotypes,0.2,0.2,0,0,,,,,,,,,,,,,,,,,,,,,,
440,I can‚Äôt believe ERA still hasn‚Äôt been passed by all of the states. What are people so afraid of?  Anyhoo...Just watched the series and it‚Äôs great! Must watch!,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,
441,I sometimes feel that people are so blind in one perspective that they comment as if the show was defending her or attacking ... ridiculous,0,0,0,0.1,,,,,,,,,,,,,,,,,,,,,,
442,"This comment section is a war zone.  I find that those whom feel the need to insult the ""other sides"" perspective beyond rational consideration of what's being said/debated are insecure with assessing their own beliefs in a critical manner",0,0.1,0,0,,,,,,,,,,,,,,,,,,,,,,
443,It's 2020 and we've still never had a female president or vice-president.  You've got a long way to go,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,
444,I learning a lot from the serie.,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
445,Any time progress or equality is a with in reach conservatives step in to keep us all in the dark ages.,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
446,Hearing Emily Doe's natural accent still surprises me,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
447,Wait,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
448,The way you want to live your life is your business. There are women that want to 'work' in their home as homemakers and I hope I'm alive to see it. This IS the age of Aquarius....,0,0.5,0,0,,,,,,,,,,,,,,,,,,,,,,
449,I would love to see this topic be the next addressed in this country ‚ô°,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
450,Keep fighting!,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,
451,OMG! Some things haven't changed since the 70s.,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
452,Mrs. America is an excellent series ‚Äî I Thoroughly enjoyed it.,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,
